Gss year for this respondent                       ,Respondent id number,Respondents sex,"Region of residence, age 16",Total family income,General happiness,Happiness of marriage
1994,1042,Female,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,1043,Female,Middle atlantic,Refused,Pretty happy,Very happy
1994,1044,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,1045,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1046,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1047,Male,Middle atlantic,$8000 to 9999,Pretty happy,Not applicable
1994,1048,Female,Foreign,$10000 - 14999,Very happy,Not applicable
1994,1049,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,1050,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1051,Male,Pacific,$25000 or more,Very happy,Very happy
1994,1052,Male,Pacific,$25000 or more,Very happy,Very happy
1994,1053,Female,Pacific,$20000 - 24999,Very happy,Not applicable
1994,1054,Male,Pacific,$15000 - 19999,Pretty happy,Not applicable
1994,1055,Male,E. nor. central,$25000 or more,Very happy,Not applicable
1994,1056,Male,Pacific,Refused,Very happy,Very happy
1994,1057,Male,E. nor. central,$25000 or more,Very happy,Pretty happy
1994,1058,Male,Pacific,$25000 or more,Very happy,Very happy
1994,1059,Male,Pacific,$25000 or more,Very happy,Pretty happy
1994,1060,Male,Pacific,$10000 - 14999,Pretty happy,Not applicable
1994,1061,Male,Pacific,$25000 or more,Very happy,Not applicable
1994,1062,Female,Middle atlantic,$8000 to 9999,Pretty happy,Not applicable
1994,1063,Female,Pacific,$10000 - 14999,Pretty happy,Not applicable
1994,1064,Male,Pacific,$15000 - 19999,Pretty happy,Not applicable
1994,1065,Female,Pacific,$15000 - 19999,Very happy,Not applicable
1994,1066,Male,Pacific,$25000 or more,Not too happy,Not applicable
1994,1067,Male,Pacific,$25000 or more,Pretty happy,Not applicable
1994,1068,Female,Pacific,$20000 - 24999,Pretty happy,Not applicable
1994,1069,Female,Pacific,$25000 or more,No answer,Not applicable
1994,1070,Female,Pacific,$25000 or more,Not too happy,Not applicable
1994,1071,Male,Foreign,$25000 or more,Very happy,Very happy
1994,1072,Female,Pacific,$25000 or more,Pretty happy,Very happy
1994,1073,Male,Pacific,$25000 or more,Pretty happy,Pretty happy
1994,1074,Female,Pacific,Refused,Very happy,Very happy
1994,1075,Male,Pacific,$25000 or more,Very happy,Very happy
1994,1076,Female,Pacific,$25000 or more,Very happy,Not applicable
1994,1077,Male,Pacific,$25000 or more,Not too happy,Not applicable
1994,1078,Male,Pacific,$25000 or more,Very happy,Very happy
1994,1079,Female,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,1080,Female,E. nor. central,$25000 or more,Very happy,Very happy
1994,1081,Male,Pacific,$25000 or more,Pretty happy,Very happy
1994,1082,Male,Foreign,$25000 or more,Very happy,Very happy
1994,1083,Male,Pacific,$25000 or more,Very happy,Very happy
1994,1084,Male,Pacific,$25000 or more,Very happy,Very happy
1994,1085,Female,New england,$25000 or more,Not too happy,Pretty happy
1994,1086,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1087,Male,New england,$25000 or more,Pretty happy,Not applicable
1994,1088,Female,New england,Don't know,Pretty happy,Not applicable
1994,1089,Female,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1994,1090,Female,New england,Don't know,Not too happy,Not applicable
1994,1091,Female,New england,$25000 or more,Pretty happy,Very happy
1994,1092,Male,New england,$25000 or more,Pretty happy,Not applicable
1994,1093,Male,New england,$25000 or more,Very happy,Very happy
1994,1094,Female,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,1095,Female,New england,$15000 - 19999,Pretty happy,Not applicable
1994,1096,Female,E. nor. central,$25000 or more,Pretty happy,Not applicable
1994,1097,Female,New england,$25000 or more,Very happy,Very happy
1994,1098,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1099,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1100,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,1101,Female,New england,$25000 or more,Pretty happy,Pretty happy
1994,1102,Female,New england,$4000 to 4999,Pretty happy,Not applicable
1994,1103,Female,New england,$6000 to 6999,Pretty happy,Not applicable
1994,1104,Female,E. nor. central,$7000 to 7999,Pretty happy,Not applicable
1994,1105,Female,New england,No answer,Very happy,Not applicable
1994,1106,Female,Middle atlantic,$10000 - 14999,Very happy,Not applicable
1994,1107,Female,Foreign,$4000 to 4999,Pretty happy,Not applicable
1994,1108,Female,New england,Don't know,Pretty happy,Not applicable
1994,1109,Female,New england,$10000 - 14999,Very happy,Not applicable
1994,1110,Female,New england,$3000 to 3999,Pretty happy,Not applicable
1994,1111,Male,New england,$10000 - 14999,Pretty happy,Not applicable
1994,1112,Female,New england,$10000 - 14999,Very happy,Very happy
1994,1113,Female,New england,$25000 or more,Not too happy,Not applicable
1994,1114,Female,New england,$25000 or more,Not too happy,Pretty happy
1994,1115,Male,New england,$25000 or more,Very happy,Very happy
1994,1116,Male,New england,$25000 or more,Pretty happy,Pretty happy
1994,1117,Male,New england,$25000 or more,Pretty happy,Not applicable
1994,1118,Female,New england,$20000 - 24999,Pretty happy,Not applicable
1994,1119,Male,New england,$3000 to 3999,Pretty happy,Not applicable
1994,1120,Male,W. nor. central,Don't know,Not too happy,Not applicable
1994,1121,Female,New england,$25000 or more,Very happy,Very happy
1994,1122,Female,New england,$8000 to 9999,Pretty happy,Not applicable
1994,1123,Male,New england,$15000 - 19999,Pretty happy,Not applicable
1994,1124,Female,New england,$25000 or more,Pretty happy,Very happy
1994,1125,Female,New england,$25000 or more,Pretty happy,Very happy
1994,1126,Male,New england,$25000 or more,Pretty happy,Not applicable
1994,1127,Female,New england,$25000 or more,Pretty happy,Very happy
1994,1128,Female,New england,$25000 or more,Very happy,Pretty happy
1994,1129,Female,New england,$25000 or more,Very happy,Not applicable
1994,1130,Male,New england,Refused,Pretty happy,Very happy
1994,1131,Male,New england,Refused,Not too happy,Pretty happy
1994,1132,Female,New england,$15000 - 19999,Pretty happy,Pretty happy
1994,1133,Female,New england,$25000 or more,Pretty happy,Not applicable
1994,1134,Female,Foreign,Don't know,Not too happy,Not applicable
1994,1135,Female,New england,$25000 or more,Pretty happy,Not applicable
1994,1136,Male,New england,$25000 or more,Pretty happy,Very happy
1994,1137,Male,Foreign,$20000 - 24999,Not too happy,Not applicable
1994,1138,Female,New england,$25000 or more,Pretty happy,Not applicable
1994,1139,Male,New england,$20000 - 24999,Not too happy,Not applicable
1994,1140,Male,W. sou. central,$25000 or more,Very happy,Very happy
1994,1141,Female,New england,$25000 or more,Pretty happy,Not applicable
1994,1142,Male,New england,Refused,Very happy,Very happy
1994,1143,Female,New england,$25000 or more,Very happy,Not applicable
1994,1144,Female,New england,$4000 to 4999,Pretty happy,Not applicable
1994,1145,Female,New england,$25000 or more,Pretty happy,Not applicable
1994,1146,Female,New england,$10000 - 14999,Pretty happy,Not applicable
1994,1147,Male,New england,$25000 or more,Pretty happy,Not applicable
1994,1148,Female,New england,Refused,Very happy,Not applicable
1994,1149,Male,New england,$25000 or more,Pretty happy,Not applicable
1994,1150,Male,Middle atlantic,$10000 - 14999,Not too happy,Not applicable
1994,1151,Female,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1994,1152,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1153,Female,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1994,1154,Male,Middle atlantic,$1000 to 2999,Pretty happy,Pretty happy
1994,1155,Female,E. nor. central,$25000 or more,Pretty happy,Pretty happy
1994,1156,Female,Middle atlantic,$8000 to 9999,Pretty happy,Not applicable
1994,1157,Male,Middle atlantic,$15000 - 19999,Very happy,Very happy
1994,1158,Male,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,1159,Female,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1994,1160,Female,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,1161,Female,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1994,1162,Female,Middle atlantic,$6000 to 6999,Very happy,Not applicable
1994,1163,Male,Middle atlantic,$8000 to 9999,Pretty happy,Pretty happy
1994,1164,Female,Middle atlantic,$10000 - 14999,Very happy,Not applicable
1994,1165,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1166,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1167,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1168,Male,Middle atlantic,Refused,Pretty happy,Not applicable
1994,1169,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1170,Male,Middle atlantic,$15000 - 19999,Very happy,Very happy
1994,1171,Male,Pacific,$25000 or more,Pretty happy,Pretty happy
1994,1172,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1173,Female,Middle atlantic,$25000 or more,Very happy,Pretty happy
1994,1174,Male,South atlantic,Refused,No answer,Don't know
1994,1175,Female,Middle atlantic,Refused,Very happy,Very happy
1994,1176,Female,Middle atlantic,$10000 - 14999,Not too happy,Not too happy
1994,1177,Female,Middle atlantic,$8000 to 9999,Pretty happy,Not applicable
1994,1178,Female,Middle atlantic,$15000 - 19999,Not too happy,Not applicable
1994,1179,Female,Middle atlantic,Don't know,Pretty happy,Not applicable
1994,1180,Male,Middle atlantic,Don't know,Not too happy,Not applicable
1994,1181,Female,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1994,1182,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1183,Female,Middle atlantic,$6000 to 6999,Not too happy,Not applicable
1994,1184,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1185,Female,Middle atlantic,Refused,Very happy,Pretty happy
1994,1186,Female,Middle atlantic,Don't know,Very happy,Not applicable
1994,1187,Female,Middle atlantic,Don't know,Not too happy,Not applicable
1994,1188,Female,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,1189,Female,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1994,1190,Female,Middle atlantic,$15000 - 19999,Very happy,Not applicable
1994,1191,Female,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1192,Female,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,1193,Male,Middle atlantic,$25000 or more,Very happy,Not applicable
1994,1194,Female,Middle atlantic,$15000 - 19999,Very happy,Not applicable
1994,1195,Male,Middle atlantic,$25000 or more,Very happy,Not applicable
1994,1196,Female,Middle atlantic,$25000 or more,Not too happy,Not applicable
1994,1197,Male,Foreign,$15000 - 19999,Pretty happy,Not applicable
1994,1198,Male,Foreign,$20000 - 24999,Pretty happy,Pretty happy
1994,1199,Female,Middle atlantic,$25000 or more,Not too happy,Pretty happy
1994,1200,Male,Foreign,$25000 or more,Very happy,Not applicable
1994,1201,Female,Middle atlantic,$8000 to 9999,Pretty happy,Not applicable
1994,1202,Female,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,1203,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1204,Female,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1994,1205,Male,Middle atlantic,Refused,Pretty happy,Very happy
1994,1206,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,1207,Female,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,1208,Female,Middle atlantic,Don't know,Pretty happy,Not applicable
1994,1209,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1210,Male,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1994,1211,Female,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1212,Male,Middle atlantic,$10000 - 14999,Not too happy,Not applicable
1994,1213,Male,Middle atlantic,Refused,Very happy,Very happy
1994,1214,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1215,Female,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1216,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,1217,Female,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1218,Male,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1994,1219,Female,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,1220,Male,W. sou. central,$20000 - 24999,Very happy,Not applicable
1994,1221,Female,Middle atlantic,$10000 - 14999,Very happy,Pretty happy
1994,1222,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1223,Male,Middle atlantic,$25000 or more,Very happy,Pretty happy
1994,1224,Male,Foreign,$25000 or more,Pretty happy,Don't know
1994,1225,Female,Middle atlantic,$25000 or more,Very happy,Not applicable
1994,1226,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1227,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1228,Male,Middle atlantic,$20000 - 24999,Very happy,Not applicable
1994,1229,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1230,Male,Middle atlantic,Refused,Very happy,Very happy
1994,1231,Male,Middle atlantic,Refused,Very happy,Very happy
1994,1232,Female,Middle atlantic,Don't know,Pretty happy,Not applicable
1994,1233,Female,Middle atlantic,Don't know,Pretty happy,Not applicable
1994,1234,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1235,Female,Middle atlantic,$25000 or more,Not too happy,Not applicable
1994,1236,Female,Middle atlantic,Don't know,Very happy,Not applicable
1994,1237,Male,Middle atlantic,$25000 or more,Not too happy,Very happy
1994,1238,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,1239,Female,South atlantic,$25000 or more,Not too happy,Not too happy
1994,1240,Male,Middle atlantic,$15000 - 19999,Not too happy,Very happy
1994,1241,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1242,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1243,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1244,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1245,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1994,1246,Male,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1994,1247,Male,South atlantic,$20000 - 24999,Pretty happy,Not applicable
1994,1248,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1249,Male,Middle atlantic,$25000 or more,Very happy,Not applicable
1994,1250,Female,South atlantic,$5000 to 5999,Pretty happy,Not applicable
1994,1251,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1252,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1253,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1254,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1255,Male,Mountain,$6000 to 6999,Very happy,Very happy
1994,1256,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,1257,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1258,Male,Middle atlantic,$5000 to 5999,Not too happy,Not applicable
1994,1259,Female,E. nor. central,$25000 or more,Pretty happy,Very happy
1994,1260,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1994,1261,Male,E. nor. central,Don't know,Pretty happy,Not applicable
1994,1262,Female,E. nor. central,Don't know,Not too happy,Pretty happy
1994,1263,Male,E. nor. central,$15000 - 19999,Pretty happy,Very happy
1994,1264,Male,E. nor. central,Don't know,Pretty happy,Not applicable
1994,1265,Male,E. nor. central,$20000 - 24999,Pretty happy,Pretty happy
1994,1266,Male,E. nor. central,$25000 or more,Pretty happy,Not applicable
1994,1267,Male,E. nor. central,$25000 or more,Pretty happy,Not applicable
1994,1268,Female,E. nor. central,$15000 - 19999,Not too happy,Very happy
